page,line,column,span,direction,left,top,right,bottom,word,short,haspunct,punctAfter,punctBefore,QunawiMS,poetryMeter,poetryVerse,fass,lwcvl,quran
8,2,1,1,r,356,197,384,218,الحَمْدُ,الحمد,,,,1b,,,0,,
8,2,1,1,r,341,197,356,218,لِلهِ,لله,,,,1b,,,0,,
8,2,1,1,r,312,197,341,218,مُـنَـزِّلِ,منزل,,,,1b,,,0,,
8,2,1,1,r,274,197,312,218,الحِكَمِ,الحكم,,,,1b,,,0,,
8,2,1,1,r,260,197,274,218,عَلَىٰ,على,,,,1b,,,0,,
8,2,1,1,r,224,197,260,218,قُلُوبِ,قلوب,,,,1b,,,0,,
8,2,1,1,r,196,197,224,218,الكَلِمِ,الكلم,,,,1b,,,0,,
8,2,1,1,r,163,197,196,218,بِأَحَدِيَّةِ,بأحدية,,,,1b,,,0,,
8,2,1,1,r,127,197,163,218,الطَّـرِيقِ,الطريق,,,,1b,,,0,,
8,2,1,1,r,100,197,127,218,الأَمَمِ,الأمم,,,,1b,,,0,,
8,2,1,1,r,79,197,100,218,مِنَ,من,,,,1b,,,0,,
8,3,1,1,r,375,223,402,244,المَقَامِ,المقام,,,,1b,,,0,,
8,3,1,1,r,344,223,375,244,الأَقْدَمِ,الأقدم,,,,1b,,,0,,
8,3,1,1,r,320,223,344,244,وَإِنِ,وإن,,,,1b,,,0,,
8,3,1,1,r,282,223,320,244,ٱخْتَلَفَتِ,اختلفت,,,,1b,,,0,,
8,3,1,1,r,253,223,282,244,النِّحَلُ,النحل,,,,1b,,,0,,
8,3,1,1,r,221,223,253,244,وَالمِلَلُ,والملل,,,,1b,,,0,,
8,3,1,1,r,176,223,221,244,لِٱخْتِلَافِ,لاختلاف,,,,1b,,,0,,
8,3,1,1,r,149,223,176,244,الأُمَمِ.,الأمم,,.,,1b,,,0,,
9,1,1,1,r,363,87,384,108,وَصَلَّىٰ,وصلى,,,,1b,,,0,,
9,1,1,1,r,333,87,362,108,اللهُ,الله,,,,1b,,,0,,
9,1,1,1,r,318,87,333,108,عَلَىٰ,على,,,,1b,,,0,,
9,1,1,1,r,285,87,317,108,مُمِدِّ,ممد,,,,1b,,,0,,
9,1,1,1,r,254,87,285,108,الهِمَمِ،,الهمم,,،,,1b,,,0,,
9,1,1,1,r,228,87,250,108,مِنْ,من,,,,1b,,,0,,
9,1,1,1,r,192,87,228,108,خَـزَائِنِ,خزائن,,,,1b,,,0,,
9,1,1,1,r,160,87,192,108,الجُودِ,الجود,,,,1b,,,0,,
9,1,1,1,r,122,87,160,108,وَالكَـرَمِ،,والكرم,,،,,1b,,,0,,
9,1,1,1,r,79,87,119,108,بِالقِيلِ,بالقيل,,,,1b,,,0,,
9,2,1,1,r,372,113,402,134,الأَقْـوَمِ،,الأقوم,,،,,1b,,,0,,
9,2,1,1,r,326,113,360,134,مُحَمَّدٍ,محمد,,,,1b,,,0,,
9,2,1,1,r,307,113,326,134,وَعَلَىٰ,وعلى,,,,1b,,,0,,
9,2,1,1,r,284,113,307,134,آلِهِ,آله,,,,1b,,,0,,
9,2,1,1,r,255,113,284,134,وَسَلَّمَ.,وسلم,,.,,1b,,,0,,
9,3,1,1,r,375,139,384,160,أَمَّا,أما,,,,1b,,,0,,
9,3,1,1,r,353,139,375,160,بَعْدُ:,بعد,,:,,1b,,,0,,
9,4,1,1,r,371,165,384,186,فَإِنِّي,فإني,,,,1b,,,0,,
9,4,1,1,r,336,165,370,186,رَأَيْتُ,رأيت,,,,1b,,,0,,
9,4,1,1,r,307,165,336,186,رَسُولَ,رسول,,,,1b,,,0,,
9,4,1,1,r,288,165,307,186,اللهِ,الله,,,,1b,,,0,,
9,4,1,1,r,270,165,288,186,صَلَّىٰ,صلى,,,,1b,,,0,,
9,4,1,1,r,242,165,269,186,اللهُ,الله,,,,1b,,,0,,
9,4,1,1,r,219,165,242,186,عَلَيْهِ,عليه,,,,1b,,,0,,
9,4,1,1,r,160,165,191,186,وَسَلَّمَ,وسلم,,,,1b,,,0,,
9,4,1,1,r,152,165,160,186,فِي,في,,,,1b,,,0,,
9,4,1,1,r,108,165,151,186,مُـبَشِّـرَةٍ,مبشرة,,,,1b,,,0,,
9,4,1,1,r,79,165,108,186,أُرِيتُهَا,أريتها,,,,1b,,,0,,
9,5,1,1,r,397,191,402,212,فِي,في,,,,1b,,,0,,
9,5,1,1,r,355,191,395,212,العَشْرِ,العشر,,,,1b,,,0,,
9,5,1,1,r,322,191,355,212,الأُخَـرِ,الأخر,,,,1b,,,0,,
9,5,1,1,r,304,191,322,212,مِنْ,من,,,,1b,,,0,,
9,5,1,1,r,261,191,304,212,المُحَـرَّمِ,المحرم,,,,1b,,,0,,
9,5,1,1,r,238,191,261,212,سَنَةَ,سنة,,,,1b,,,0,last days of Muharram 726h in Damascus,
9,5,1,1,r,214,191,238,212,سَبْعٍ,سبع,,,,1b,,,0,,
9,5,1,1,r,170,191,214,212,وَعِشْرِينَ,وعشرين,,,,1b,,,0,,
9,5,1,1,r,124,191,170,212,وَستِّمِاىَٔةٍ,وستمائة,,,,1b,,,0,,
9,6,1,1,r,359,217,402,238,بِمَحْـرُوسَةِ,بمحروسة,,,,1b,,,0,,
9,6,1,1,r,330,217,359,238,دِمَشْقَ،,دمشق,,،,,1b,,,0,,
9,6,1,1,r,300,217,330,238,وَبِيِدِهِ,وبيده,,,,1b,,,0,,
9,6,1,1,r,283,217,300,238,صَلَّىٰ,صلى,,,,1b,,,0,,
9,6,1,1,r,257,217,283,238,اللهُ,الله,,,,1b,,,0,,
9,6,1,1,r,236,217,257,238,عَلَيهِ,عليه,,,,1b,,,0,,
9,6,1,1,r,179,217,208,238,وَسَلَّمَ,وسلم,,,,1b,,,0,,
9,6,1,1,r,153,217,179,238,كِتَابٌ.,كتاب,,.,,1b,,,0,,
9,7,1,1,r,361,243,384,264,فَقَالَ,فقال,,,,1b,,,0,,
9,7,1,1,r,344,243,361,264,لِي:,لي,,:,,1b,,,0,,
9,7,1,1,r,284,243,344,264,«هٰذَا,هذا,,,«,1b,,,0,,
9,7,1,1,r,284,243,344,264,كِتَابُ,كتاب,,,,1b,,,0,,
9,7,1,1,r,244,243,284,264,فُصُوصِ,فصوص,,,,1b,,,0,,
9,7,1,1,r,208,243,244,264,الحِكَمِ.,الحكم,,.,,1b,,,0,,
9,7,1,1,r,180,243,208,264,خُذْهُ,خذه,,,,1b,,,0,,
9,7,1,1,r,143,243,180,264,وَٱخْـرُجْ,واخرج,,,,1b,,,0,,
9,7,1,1,r,130,243,143,264,بِهِ,به,,,,1b,,,0,,
9,7,1,1,r,120,243,130,264,إِلَىٰ,إلى,,,,1b,,,0,,
9,7,1,1,r,79,243,118,264,النَّاسِ,الناس,,,,1b,,,0,,
9,8,1,1,r,367,269,402,290,يَنْـتَفِعُونَ,ينتفعون,,,,1b,,,0,,
9,8,1,1,r,348,269,367,290,بِهِ».,به,,».,,1b,,,0,,
10,1,1,1,r,360,87,384,108,فَقُلْتُ:,فقلت,,:,,1b,,,0,,
10,1,1,1,r,319,87,360,108,«السَّمْعَ,السمع,,,«,1b,,,0,,
10,1,1,1,r,282,87,319,108,وَالطَّاعَةَ,والطاعة,,,,1b,,,0,,
10,1,1,1,r,268,87,282,108,لِلهِ,لله,,,,1b,,,0,,
10,1,1,1,r,218,87,259,108,وَلِرَسُولِهِ,ولرسوله,,,,1b,,,0,,
10,1,1,1,r,196,87,218,108,وَأُولِي,وأولي,,,,1b,,,0,,
10,1,1,1,r,164,87,196,108,الأَمْرِ,الأمر,,,,1b,,,0,,
10,1,1,1,r,149,87,164,108,مِنَّا،,منا,,،,,1b,,,0,,
10,1,1,1,r,130,87,149,108,كَمَا,كما,,,,1b,,,0,,
10,1,1,1,r,94,87,130,108,أُمِرْنَا».,أمرنا,,».,,1b,,,0,,
10,2,1,1,r,348,113,384,134,فَحَقَّقْتُ,فحققت,,,,1b,,,0,,
10,2,1,1,r,307,113,348,134,الأُمْـنِـيَّـةَ،,الأمنية,,،,,1b,,,0,,
10,2,1,1,r,258,113,307,134,وَأَخْلَصْتُ,وأخلصت,,,,1b,,,0,,
10,2,1,1,r,233,113,258,134,النِّـيَّةَ،,النية,,،,,1b,,,0,,
10,2,1,1,r,188,113,233,134,وَجَـرَّدْتُ,وجردت,,,,1b,,,0,,
10,2,1,1,r,156,113,188,134,القَصْدَ,القصد,,,,1b,,,0,,
10,2,1,1,r,123,113,156,134,وَالهِمَّةَ,والهمة,,,,1b,,,0,,
10,2,1,1,r,113,113,123,134,إِلَىٰ,إلى,,,,1b,,,0,,
10,2,1,1,r,79,113,113,134,إِبْـرَازِ,إبراز,,,,1b,,,0,,
10,3,1,1,r,389,139,402,160,هٰذَا,هذا,,,,1b,,,0,,
10,3,1,1,r,332,139,389,160,الكِتَابِ,الكتاب,,,,1b,,,0,,
10,3,1,1,r,332,139,389,160,كَمَا,كما,,,,1b,,,0,,
10,3,1,1,r,309,139,335,160,حَدَّهُ,حده,,,,1b,,,0,,
10,3,1,1,r,302,139,309,160,لِي,لي,,,,1b,,,0,,
10,3,1,1,r,265,139,302,160,رَسُولُ,رسول,,,,1b,,,0,,
10,3,1,1,r,248,139,265,160,اللهِ,الله,,,,1b,,,0,,
10,3,1,1,r,230,139,248,160,صَلَّىٰ,صلى,,,,1b,,,0,,
10,3,1,1,r,204,139,230,160,اللهُ,الله,,,,1b,,,0,,
10,3,1,1,r,182,139,204,160,عَلَيهِ,عليه,,,,1b,,,0,,
10,3,1,1,r,156,139,182,160,وَسَلَّمَ,وسلم,,,,1b,,,0,,
10,3,1,1,r,140,139,156,160,مِنْ,من,,,,1b,,,0,,
10,3,1,1,r,122,139,140,160,غَيرِ,غير,,,,1b,,,0,,
10,3,1,1,r,97,139,122,160,زِيَادَةٍ,زيادة,,,,1b,,,0,,
10,3,1,1,r,79,139,97,160,وَلَا,ولا,,,,1b,,,0,,
10,4,1,1,r,373,165,402,186,نُقْصَانٍ.,نقصان,,.,,1b,,,0,,
10,5,1,1,r,352,191,384,212,وَسَأَلْتُ,وسألت,,,,1b,,,0,,
10,5,1,1,r,333,191,352,212,اللهَ,الله,,,,1b,,,0,,
10,5,1,1,r,319,191,333,212,أَنْ,أن,,,,1b,,,0,,
10,5,1,1,r,289,191,319,212,يَجْعَلَنِي,يجعلني,,,,1b,,,0,,
10,5,1,1,r,264,191,289,212,فِيهِ,فيه,,,,1b,,,0,,
10,5,1,1,r,250,191,264,212,وَفِي,وفي,,,,1b,,,0,,
10,5,1,1,r,212,191,249,212,جَمِيْعِ,جميع,,,,1b,,,0,,
10,5,1,1,r,185,191,212,212,أَحْوَالِي,أحوالي,,,,1b,,,0,,
10,5,1,1,r,159,191,184,212,مِنْ,من,,,,1b,,,0,,
10,5,1,1,r,132,191,159,212,عِبَادِهِ,عباده,,,,1b,,,0,,
10,5,1,1,r,103,191,132,212,الَّذِينَ,الذين,,,,1b,,,0,,
10,5,1,1,r,79,191,103,212,لَيسَ,ليس,,,,1b,,,0,,
10,6,1,1,r,366,217,402,238,لِلشَّيْطَانِ,للشيطان,,,,1b,,,0,,
10,6,1,1,r,337,217,366,238,عَلَيْهِمْ,عليهم,,,,1b,,,0,,
10,6,1,1,r,304,217,337,238,سُلْطَانٌ،,سلطان,,،,,1b,,,0,,
10,6,1,1,r,271,217,294,238,وَأَنْ,وأن,,,,1b,,,0,,
10,6,1,1,r,241,217,271,238,يَخُصَّنِي,يخصني,,,,1b,,,0,,
10,6,1,1,r,216,217,241,238,فِي,في,,,,1b,,,0,,
10,6,1,1,r,189,217,225,238,جَمِيعِ,جميع,,,,1b,,,0,,
10,6,1,1,r,180,217,189,238,مَا,ما,,,,1b,,,0,,
10,6,1,1,r,149,217,179,238,يَرقُمُهُ,يرقمه,,,,1b,,,0,,
10,6,1,1,r,114,217,141,238,بَنَانِي،,بناني,,،,,1b,,,0,,
10,6,1,1,r,79,217,114,238,وَيَنْطِقُ,وينطق,,,,1b,,,0,,
10,7,1,1,r,394,243,402,264,بِهِ,به,,,,1b,,,0,,
10,7,1,1,r,364,243,394,264,لِسَانِي،,لساني,,،,,1b,,,0,,
10,7,1,1,r,331,243,364,264,وَيَنْطَوِي,وينطوي,,,,1b,,,0,,
10,7,1,1,r,300,243,331,264,عَلَيهِ,عليه,,,,1b,,,0,,
10,7,1,1,r,269,243,300,264,جَنَانِي،,جناني,,،,,1b,,,0,,
10,7,1,1,r,220,243,261,264,بِالإِلْقَاءِ,بالإلقاء,,,,1b,,,0,,
10,7,1,1,r,185,243,220,264,السُّبُّوحِي,السبوحي,,,,1b,,,0,,
10,7,1,1,r,142,243,185,264,وَالنَّفْثِ,والنفث,,,,1b,,,0,,
10,7,1,1,r,104,243,137,264,الرُّوحِي,الروحي,,,,1b,,,0,,
10,7,1,1,r,87,243,104,264,فِي,في,,,,1b,,,0,,
11,1,1,1,r,377,87,402,108,الرُّوعِ,الروع,,,,1b,,,0,,
11,1,1,1,r,332,87,372,108,النَّفْسِي,النفسي,,,,1b,,,0,,
11,1,1,1,r,295,87,341,108,بِالتَّـأيِيْدِ,بالتأييد,,,,1b,,,0,,
11,1,1,1,r,232,87,290,108,الٱعْتِصَامِي،,الاعتصامي,,،,,1b,,,0,,
11,1,1,1,r,195,87,224,108,حَتَّىٰ,حتى,,,,1b,,,0,,
11,1,1,1,r,169,87,204,108,أَكُونَ,أكون,,,,1b,,,0,,
11,1,1,1,r,137,87,169,108,مُتَرْجِمًا,مترجما,,,,1b,,,0,,
11,1,1,1,r,126,87,137,108,لَا,لا,,,,1b,,,0,,
11,1,1,1,r,82,87,126,108,مُتَحَكِّمًا،,متحكما,,،,,1b,,,0,,
11,2,1,1,r,360,113,402,134,لِيَتَحَـقَّقَ,ليتحقق,,,,1b,,,0,,
11,2,1,1,r,343,113,360,134,مَنْ,من,,,,1b,,,0,,
11,2,1,1,r,315,113,343,134,يَقِفُ,يقف,,,,1b,,,0,,
11,2,1,1,r,289,113,315,134,عَلَيْهِ,عليه,,,,1b,,,0,,
11,2,1,1,r,271,113,289,134,مِنْ,من,,,,1b,,,0,,
11,2,1,1,r,249,113,271,134,أَهْلِ,أهل,,,,1b,,,0,,
11,2,1,1,r,228,113,249,134,اللهِ،,الله,,،,,1b,,,0,,
11,2,1,1,r,182,113,228,134,أَصْحَابِ,أصحاب,,,,1b,,,0,,
11,2,1,1,r,142,113,182,134,القُلُوبِ،,القلوب,,،,,1b,,,0,,
11,2,1,1,r,122,113,142,134,أَنَّهُ,أنه,,,,1b,,,0,,
11,2,1,1,r,105,113,122,134,مِنْ,من,,,,1b,,,0,,
11,2,1,1,r,79,113,105,134,مَقَامِ,مقام,,,,1b,,,0,,
11,3,1,1,r,364,139,402,160,التَّقْدِيْسِ,التقديس,,,,1b,,,0,,
11,3,1,1,r,336,139,364,160,المُنَزَّهِ,المنزه,,,,1b,,,0,,
11,3,1,1,r,318,139,336,160,عَنِ,عن,,,,1b,,,0,,
11,3,1,1,r,274,139,318,160,الأَغْرَاضِ,الأغراض,,,,1b,,,0,,
11,3,1,1,r,241,139,274,160,النَّفْسِيَّةِ,النفسية,,,,1b,,,0,,
11,3,1,1,r,227,139,241,160,الَّتِي,التي,,,,1b,,,0,,
11,3,1,1,r,188,139,227,160,يَدْخُلُهَا,يدخلها,,,,1b,,,0,,
11,3,1,1,r,146,139,188,160,التَّلْبِيسُ.,التلبيس,,.,,1b,,,0,,
11,4,1,1,r,361,165,384,186,وَأَرْجُو,وأرجو,,,,1b,,,0,,
11,4,1,1,r,341,165,360,186,أَنْ,أن,,,,1b,,,0,,
11,4,1,1,r,311,165,341,186,يَكُونَ,يكون,,,,1b,,,0,,
11,4,1,1,r,282,165,311,186,الحَقُّ,الحق,,,,1b,,,0,,
11,4,1,1,r,260,165,282,186,تَعَاَلىٰ,تعالى,,,,1b,,,0,,
11,4,1,1,r,235,165,258,186,لَمَّا,لما,,,,1b,,,0,,
11,4,1,1,r,204,165,234,186,سَمِعَ,سمع,,,,1b,,,0,,
11,4,1,1,r,170,165,204,186,دُعَائِي،,دعائي,,،,,1b,,,0,,
11,4,1,1,r,151,165,170,186,قَدْ,قد,,,,1b,,,0,,
11,4,1,1,r,119,165,151,186,أَجَابَ,أجاب,,,,1b,,,0,,
11,5,1,1,r,373,191,402,212,نِدَائِي،,ندائي,,،,,2a,,,0,,
11,5,1,1,r,354,191,373,212,فَمَا,فما,,,,2a,,,0,,
11,5,1,1,r,332,191,352,212,أُلْقِي,ألقي,,,,2a,,,0,,
11,5,1,1,r,311,191,331,212,إِلَّا,إلا,,,,2a,,,0,,
11,5,1,1,r,298,191,311,212,مَا,ما,,,,2a,,,0,,
11,5,1,1,r,274,191,297,212,يُلْقَىٰ,يلقى,,,,2a,,,0,,
11,5,1,1,r,247,191,273,212,إِليَّ،,إلي,,،,,2a,,,0,,
11,5,1,1,r,230,191,247,212,وَلَا,ولا,,,,2a,,,0,,
11,5,1,1,r,203,191,230,212,أُنَزِّلُ,أنزل,,,,2a,,,0,,
11,5,1,1,r,185,191,197,212,فِي,في,,,,2a,,,0,,
11,5,1,1,r,158,191,184,212,هٰذَا,هذا,,,,2a,,,0,,
11,5,1,1,r,108,191,158,212,المَسْطُورِ,المسطور,,,,2a,,,0,,
11,5,1,1,r,97,191,108,212,إِلَّا,إلا,,,,2a,,,0,,
11,5,1,1,r,79,191,97,212,مَا,ما,,,,2a,,,0,,
12,1,1,1,r,384,87,402,108,يُنْزَلُ,ينزل,,,,2a,,,0,,
12,1,1,1,r,363,87,378,108,بِهِ,به,,,,2a,,,0,,
12,1,1,1,r,332,87,357,108,عَلَيَّ.,علي,,.,,2a,,,0,,
12,1,1,1,r,298,87,332,108,وَلَسْتُ,ولست,,,,2a,,,0,,
12,1,1,1,r,276,87,298,108,بِنَبِيٍّ,بنبي,,,,2a,,,0,,
12,1,1,1,r,263,87,276,108,وَلَا,ولا,,,,2a,,,0,,
12,1,1,1,r,230,87,263,108,رَسُولٍ،,رسول,,،,,2a,,,0,,
12,1,1,1,r,200,87,230,108,وَلٰـكِنِّي,ولكني,,,,2a,,,0,,
12,1,1,1,r,164,87,200,108,وَارِثٌ،,وارث,,،,,2a,,,0,,
12,1,1,1,r,123,87,164,108,وَلِآخِـرَتِي,ولآخرتي,,,,2a,,,0,,
12,1,1,1,r,84,87,123,108,حَارِثٌ.,حارث,,.,,2a,,,0,,
12,3,1,1,r,339,139,374,160,فَمِنَ,فمن,,,,2a,[مجـزوء الخفيف] ,1,0,,
12,3,1,1,r,321,139,339,160,اللهِ,الله,,,,2a,,,0,,
12,3,1,1,r,283,139,321,160,فَـٱسْمَعُوْا,فاسمعوا,,,,2a,,,0,,
12,3,2,1,r,222,139,234,160,وَإَِلىٰ,وإلى,,,,2a,,,0,,
12,3,2,1,r,196,139,222,160,اللهِ,الله,,,,2a,,,0,,
12,3,2,1,r,155,139,196,160,فَارْجِعُـوْا,فارجعوا,,,,2a,,,0,,
12,4,1,1,r,343,165,374,186,فَإِذَا,فإذا,,,,2a,,2,0,,
12,4,1,1,r,303,165,343,186,سَمِعْتُــمْ,سمعتم,,,,2a,,,0,,
12,4,1,1,r,288,165,303,186,مَــا,ما,,,,2a,,,0,,
12,4,2,1,r,201,165,234,186,أَتَـيْـتُـــمْ,أتيتم,,,,2a,,,0,,
12,4,2,1,r,187,165,201,186,بِـهِ،,به,,،,,2a,,,0,,
12,4,2,1,r,154,165,187,186,فَعُـــوْا,فعوا,,,,2a,,,0,,
12,5,1,1,r,345,191,374,212,ثُمَّ,ثم,,,,2a,,3,0,,
12,5,1,1,r,314,191,345,212,بِالفَهْمِ,بالفهم,,,,2a,,,0,,
12,5,1,1,r,282,191,314,212,فَصِّـلُوْا,فصلوا,,,,2a,,,0,,
12,5,2,1,r,206,191,234,212,مُجْمَلَ,مجمل,,,,2a,,,0,,
12,5,2,1,r,179,191,206,212,القَولِ,القول,,,,2a,,,0,,
12,5,2,1,r,139,191,179,212,وَٱجْمَعُوْا,واجمعوا,,,,2a,,,0,,
12,6,1,1,r,346,217,374,238,ثُمَّ,ثم,,,,2a,,4,0,,
12,6,1,1,r,326,217,346,238,مُنُّوا,منوا,,,,2a,,,0,,
12,6,1,1,r,303,217,320,238,بِـهِ,به,,,,2a,,,0,,
12,6,1,1,r,289,217,303,238,عَلَىٰ,على,,,,2a,,,0,,
12,6,2,1,r,196,217,234,238,طَــالِبِـــيْهِ,طالبيه,,,,2a,,,0,,
12,6,2,1,r,188,217,196,238,لَا,لا,,,,2a,,,0,,
12,6,2,1,r,145,217,188,238,تَمْنَعُـــوْا,تمنعوا,,,,2a,,,0,,
12,7,1,1,r,338,243,374,264,هٰذِهِ,هذه,,,,2a,,5,0,,
12,7,1,1,r,305,243,338,264,الرَّحْمَةُ,الرحمة,,,,2a,,,0,,
12,7,1,1,r,292,243,305,264,الَّتِي,التي,,,,2a,,,0,,
12,7,2,1,r,190,243,234,264,وَسِعَتْـكُــمُ,وسعتكم,,,,2a,,,0,,
12,7,2,1,r,148,243,190,264,فَـوَسِّعُــوا,فوسعوا,,,,2a,,,0,,
13,1,1,1,r,364,87,384,108,وَمِنَ,ومن,,,,2a,,,0,,
13,1,1,1,r,342,87,364,108,اللهِ,الله,,,,2a,,,0,,
13,1,1,1,r,315,87,342,108,أَرْجُوْ,أرجو,,,,2a,,,0,,
13,1,1,1,r,301,87,315,108,أَنْ,أن,,,,2a,,,0,,
13,1,1,1,r,273,87,301,108,أَكُوْنَ,أكون,,,,2a,,,0,,
13,1,1,1,r,246,87,273,108,مِمَّنْ,ممن,,,,2a,,,0,,
13,1,1,1,r,228,87,246,108,أُيَّدَ,أيد,,,,2a,,,0,,
13,1,1,1,r,194,87,228,108,فَتَـأَيَّدَ،,فتأيد,,،,,2a,,,0,,
13,1,1,1,r,158,87,185,108,وَأُيَّدَ,وأيد,,,,2a,,,0,,
13,1,1,1,r,128,87,158,108,وَقُـيِّدَ,وقيد,,,,2a,,,0,,
13,1,1,1,r,79,87,124,108,بِالشَّرْعِ,بالشرع,,,,2a,,,0,,
13,2,1,1,r,356,113,402,134,المُحَمَّدِيِّ,المحمدي,,,,2a,,,0,,
13,2,1,1,r,316,113,356,134,المُطَهَّـرِ,المطهر,,,,2a,,,0,,
13,2,1,1,r,281,113,316,134,فَـتَقَـيَّدَ,فتقيد,,,,2a,,,0,,
13,2,1,1,r,245,113,275,134,وَقُـيِّدَ.,وقيد,,.,,2a,,,0,,
13,2,1,1,r,207,113,245,134,وَحَشَرَنَا,وحشرنا,,,,2a,,,0,,
13,2,1,1,r,194,113,206,134,فِي,في,,,,2a,,,0,,
13,2,1,1,r,155,113,194,134,زُمْـرَتِهِ،,زمرته,,،,,2a,,,0,,
13,2,1,1,r,136,113,155,134,كَمَا,كما,,,,2a,,,0,,
13,2,1,1,r,100,113,135,134,جَعَـلَـنَا,جعلنا,,,,2a,,,0,,
13,2,1,1,r,79,113,99,134,مِنْ,من,,,,2a,,,0,,
13,3,1,1,r,383,139,402,160,أُمَّـتِهِ.,أمته,,.,,2a,,,0,,
13,4,1,1,r,361,165,384,186,فَـأَوَّلُ,فأول,,,,2a,,,0,,
13,4,1,1,r,352,165,361,186,مَا,ما,,,,2a,,,0,,
13,4,1,1,r,326,165,352,186,أَلقَاهُ,ألقاه,,,,2a,,,0,,
13,4,1,1,r,293,165,326,186,المَالِكُ,المالك,,,,2a,,,0,,
13,4,1,1,r,279,165,293,186,عَلَىٰ,على,,,,2a,,,0,,
13,4,1,1,r,246,165,279,186,العَبدِ,العبد,,,,2a,,,0,,
13,4,1,1,r,230,165,246,186,مِنْ,من,,,,2a,,,0,,
13,4,1,1,r,204,165,230,186,ذٰلِكَ:,ذلك,,:,,2a,,,0,,